date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:30:49	232826/232826	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:612dafb15d041aa40e8467da03b9c92b%22	https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao	C:/Users/mathe/Downloads/Site%20httrack/dolce/is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao.html	(from )
09:30:49	559/559	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:a98fb3a3b0f5a05dd011ac29233df346%22	https://is1wvf-s7.myshopify.com/robots.txt		(from )
09:30:49	245519/245519	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2017%20Feb%202025%2012:31:04%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/mathe/Downloads/Site%20httrack/dolce/connect.facebook.net/en_US/fbevents.js	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:49	144890/144890	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:ed6e3c7a04a033bf3e78e8cab1107116%22	https://is1wvf-s7.myshopify.com/collections/frontpage/products/'https://imadigital.com.br'	C:/Users/mathe/Downloads/Site%20httrack/dolce/is1wvf-s7.myshopify.com/collections/frontpage/products/'https_/imadigital.com.br'	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Feb%202025%2012:31:05%20GMT	http://cdn.shopify.com/s/files/1/0565/5658/5007/files/title_description.js?v=1690239241	C:/Users/mathe/Downloads/Site%20httrack/dolce/cdn.shopify.com/s/files/1/0565/5658/5007/files/title_description.39afc.delayed	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:52	1065/1065	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2004%20Feb%202025%2016:01:22%20GMT	https://cdn.shopify.com/s/files/1/0565/5658/5007/files/title_description.js?v=1690239241	C:/Users/mathe/Downloads/Site%20httrack/dolce/cdn.shopify.com/s/files/1/0565/5658/5007/files/title_description9afc.js	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Feb%202025%2012:31:07%20GMT	http://is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/theme.css?v=16560140790894003971739792237	C:/Users/mathe/Downloads/Site%20httrack/dolce/is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/theme.699a0.delayed	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:52	83981/83981	---M-Z	200	added ('OK')	text/css	etag:%22619c057b-44be%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	C:/Users/mathe/Downloads/Site%20httrack/dolce/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta3/css/all.min.css	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:52	200785/200785	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Feb%202025%2012:03:03%20GMT	https://is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/theme.css?v=16560140790894003971739792237	C:/Users/mathe/Downloads/Site%20httrack/dolce/is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/theme99a0.css	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:54	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Feb%202025%2012:31:08%20GMT	http://is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/custom.css?v=121092164916451942731739792236	C:/Users/mathe/Downloads/Site%20httrack/dolce/is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/customa70e.css	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:54	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Feb%202025%2012:31:10%20GMT	http://is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/jquery.js?v=115860211936397945481739792237	C:/Users/mathe/Downloads/Site%20httrack/dolce/is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/jquery1c32.js	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:54	50832/50832	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Feb%202025%2012:03:03%20GMT	https://is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/custom.css?v=121092164916451942731739792236	C:/Users/mathe/Downloads/Site%20httrack/dolce/is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/customa70e.css	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:55	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Feb%202025%2012:31:10%20GMT	http://is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/theme.min.js?v=81209814239805320131739792237	C:/Users/mathe/Downloads/Site%20httrack/dolce/is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/theme.minaf58.js	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:55	89500/89500	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2017%20Feb%202025%2012:03:03%20GMT	https://is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/jquery.js?v=115860211936397945481739792237	C:/Users/mathe/Downloads/Site%20httrack/dolce/is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/jquery1c32.js	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:55	538024/538024	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2017%20Feb%202025%2012:03:03%20GMT	https://is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/theme.min.js?v=81209814239805320131739792237	C:/Users/mathe/Downloads/Site%20httrack/dolce/is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/theme.minaf58.js	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:55	9652/9652	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2004%20Feb%202025%2015:51:48%20GMT	https://cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	C:/Users/mathe/Downloads/Site%20httrack/dolce/cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:56	248862/248862	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2017%20Feb%202025%2012:26:15%20GMT	https://is1wvf-s7.myshopify.com/cdn/shopifycloud/portable-wallets/latest/portable-wallets.pt-br.js	C:/Users/mathe/Downloads/Site%20httrack/dolce/is1wvf-s7.myshopify.com/cdn/shopifycloud/portable-wallets/latest/portable-wallets.pt-br.js	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:56	12290/12290	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Feb%202025%2012:22:10%20GMT	https://is1wvf-s7.myshopify.com/cdn/shopifycloud/portable-wallets/latest/accelerated-checkout-backwards-compat.css	C:/Users/mathe/Downloads/Site%20httrack/dolce/is1wvf-s7.myshopify.com/cdn/shopifycloud/portable-wallets/latest/accelerated-checkout-backwards-compat.css	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:57	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Feb%202025%2012:31:11%20GMT	http://is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/zuban.js?v=103442382625823746811739792237	C:/Users/mathe/Downloads/Site%20httrack/dolce/is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/zuban.11e5b7.delayed	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:58	2367/2367	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2017%20Feb%202025%2012:03:03%20GMT	https://is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/zuban.js?v=103442382625823746811739792237	C:/Users/mathe/Downloads/Site%20httrack/dolce/is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/zubane5b7.js	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:58	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Feb%202025%2012:31:13%20GMT	http://is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/custom.js?v=178718570756129662041739792236	C:/Users/mathe/Downloads/Site%20httrack/dolce/is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/customf33c.js	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:58	5236/5236	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2017%20Feb%202025%2012:03:03%20GMT	https://is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/custom.js?v=178718570756129662041739792236	C:/Users/mathe/Downloads/Site%20httrack/dolce/is1wvf-s7.myshopify.com/cdn/shop/t/2/assets/customf33c.js	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:58	89501/89501	---M--	200	added ('OK')	text/javascript	date:Wed,%2010%20Mar%202021%2014:28:09%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/Users/mathe/Downloads/Site%20httrack/dolce/ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:59	144890/144890	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22cacheable:77d6f5c5f7353806f6b5a9c4ba847918%22	https://is1wvf-s7.myshopify.com/collections/frontpage/products/POST	C:/Users/mathe/Downloads/Site%20httrack/dolce/is1wvf-s7.myshopify.com/collections/frontpage/products/POST	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:59	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Feb%202025%2012:31:14%20GMT	http://is1wvf-s7.myshopify.com/cdn/s/trekkie.storefront.e991c55e78bb7465ada1b8db33d441f155086734.min.js	C:/Users/mathe/Downloads/Site%20httrack/dolce/is1wvf-s7.myshopify.com/cdn/s/trekkie.storefront.e991c55e78bb7465ada1b8db33d441f155086734.min.17.delayed	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
09:30:59	122182/122182	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2013%20Feb%202025%2015:42:40%20GMT	https://is1wvf-s7.myshopify.com/cdn/s/trekkie.storefront.e991c55e78bb7465ada1b8db33d441f155086734.min.js	C:/Users/mathe/Downloads/Site%20httrack/dolce/is1wvf-s7.myshopify.com/cdn/s/trekkie.storefront.e991c55e78bb7465ada1b8db33d441f155086734.min.js	(from https://is1wvf-s7.myshopify.com/collections/frontpage/products/cafeteira-expresso-nescafe-dolce-gusto-promocao-exclusiva-de-verao)
